_ID,0055
Time,Centre position X,Centre position Y,In platform,In nw quad,In ne quad,In sw quad,In se quad,In perimeter
0:00:00.000,,,0,1,0,0,0,0
0:00:00.108,376,210,0,1,0,0,0,0
0:00:00.141,375,213,0,0,1,0,0,0
0:00:00.175,374,217,0,0,1,0,0,0
0:00:00.241,372,223,0,0,1,0,0,0
0:00:00.307,372,230,0,0,1,0,0,0
0:00:00.373,372,235,0,0,1,0,0,0
0:00:00.441,371,242,0,0,1,0,0,0
0:00:00.508,371,249,0,0,1,0,0,0
0:00:00.574,371,256,0,0,1,0,0,0
0:00:00.641,371,263,0,0,1,0,0,0
0:00:00.707,370,270,0,0,1,0,0,0
0:00:00.774,371,277,0,0,1,0,0,0
0:00:00.840,370,283,0,0,1,0,0,0
0:00:00.907,369,290,0,0,1,0,0,0
0:00:00.974,367,295,0,0,1,0,0,0
0:00:01.041,366,301,0,0,1,0,0,0
0:00:01.108,365,306,0,0,1,0,0,0
0:00:01.174,364,312,0,0,1,0,0,0
0:00:01.241,363,318,0,0,1,0,0,0
0:00:01.308,362,324,0,0,1,0,0,0
0:00:01.374,360,330,0,0,1,0,0,0
0:00:01.441,359,335,0,0,1,0,0,0
0:00:01.507,357,340,0,0,0,0,1,0
0:00:01.540,355,343,0,0,0,0,1,0
0:00:01.607,352,347,0,0,0,0,1,0
0:00:01.673,348,350,0,0,0,0,1,0
0:00:01.741,343,352,0,0,0,0,1,0
0:00:01.808,339,353,0,0,0,0,1,0
0:00:01.873,336,352,0,0,0,0,1,0
0:00:01.941,334,352,0,0,0,0,1,0
0:00:02.007,332,350,0,0,0,0,1,0
0:00:02.074,326,347,0,0,0,0,1,0
0:00:02.141,322,345,0,0,0,0,1,0
0:00:02.208,318,343,0,0,0,0,1,0
0:00:02.274,313,339,0,0,0,0,1,0
0:00:02.341,308,333,0,0,0,0,1,0
0:00:02.408,303,327,0,0,0,0,1,0
0:00:02.474,298,323,0,0,0,0,1,0
0:00:02.541,293,318,0,0,0,0,1,0
0:00:02.607,289,312,0,0,0,0,1,0
0:00:02.673,285,307,0,0,0,0,1,0
0:00:02.740,282,302,0,0,0,0,1,0
0:00:02.807,279,296,0,0,0,0,1,0
0:00:02.874,276,290,0,0,0,0,1,0
0:00:02.941,274,285,0,0,0,0,1,0
0:00:03.007,273,279,0,0,0,0,1,0
0:00:03.074,273,273,0,0,0,0,1,0
0:00:03.140,273,268,0,0,0,0,1,0
0:00:03.207,274,261,0,0,0,0,1,0
0:00:03.273,276,255,0,0,0,0,1,0
0:00:03.341,278,250,0,0,0,0,1,0
0:00:03.406,280,245,0,0,0,0,1,0
0:00:03.474,283,240,0,0,0,0,1,0
0:00:03.541,287,235,0,0,0,0,1,0
0:00:03.606,289,230,0,0,0,0,1,0
0:00:03.673,292,224,0,0,0,0,1,0
0:00:03.741,295,220,0,0,0,0,1,0
0:00:03.807,297,213,0,0,0,0,1,0
0:00:03.874,299,208,0,0,0,1,0,0
0:00:03.907,300,205,0,0,0,1,0,0
0:00:03.974,302,198,0,0,0,1,0,0
0:00:04.041,304,192,0,0,0,1,0,0
0:00:04.107,306,185,0,0,0,1,0,0
0:00:04.174,307,179,0,0,0,1,0,0
0:00:04.241,309,175,0,0,0,1,0,0
0:00:04.307,311,171,0,0,0,1,0,0
0:00:04.374,313,168,0,0,0,1,0,0
0:00:04.440,314,164,0,0,0,1,0,0
0:00:04.506,315,161,0,0,0,1,0,0
0:00:04.573,315,157,0,0,0,1,0,0
0:00:04.641,316,152,0,0,0,1,0,0
0:00:04.707,316,149,0,0,0,1,0,0
0:00:04.774,315,145,0,0,0,1,0,0
0:00:04.840,314,141,0,0,0,1,0,0
0:00:04.906,312,137,0,0,0,1,0,0
0:00:04.973,310,134,0,0,0,1,0,0
0:00:05.039,308,130,0,0,0,1,0,0
0:00:05.106,306,126,0,0,0,1,0,0
0:00:05.173,303,123,0,0,0,1,0,0
0:00:05.240,300,119,0,0,0,1,0,0
0:00:05.307,298,116,0,0,0,1,0,0
0:00:05.373,295,115,0,0,0,1,0,0
0:00:05.440,294,112,0,0,0,1,0,0
0:00:05.506,291,110,0,0,0,1,0,0
0:00:05.574,288,108,0,0,0,1,0,0
0:00:05.639,286,107,0,0,0,1,0,0
0:00:05.707,282,107,0,0,0,1,0,0
0:00:05.774,279,107,0,0,0,1,0,0
0:00:05.840,277,108,0,0,0,1,0,0
0:00:05.907,275,110,0,0,0,1,0,0
0:00:05.974,271,113,0,0,0,1,0,0
0:00:06.040,270,115,0,0,0,1,0,0
0:00:06.107,270,122,0,0,0,1,0,0
0:00:06.174,273,127,0,0,0,1,0,0
0:00:06.240,276,130,0,0,0,1,0,0
0:00:06.306,281,132,0,0,0,1,0,0
0:00:06.374,286,133,0,0,0,1,0,0
0:00:06.440,289,133,0,0,0,1,0,0
0:00:06.507,292,132,0,0,0,1,0,0
0:00:06.573,293,132,0,0,0,1,0,0
0:00:06.640,294,133,0,0,0,1,0,0
0:00:06.707,297,135,0,0,0,1,0,0
0:00:06.774,299,136,0,0,0,1,0,0
0:00:06.839,300,138,0,0,0,1,0,0
0:00:06.906,301,139,0,0,0,1,0,0
0:00:06.972,302,140,1,0,0,0,0,0
0:00:07.007,302,139,0,0,0,1,0,0
0:00:07.040,301,140,1,0,0,0,0,0
0:00:07.072,301,140,1,0,0,0,0,0
0:00:07.140,300,139,0,0,0,1,0,0
0:00:07.173,300,139,0,0,0,1,0,0
0:00:07.240,300,139,0,0,0,1,0,0
0:00:07.307,300,139,0,0,0,1,0,0
0:00:07.373,300,139,0,0,0,1,0,0
0:00:07.440,299,140,1,0,0,0,0,0
0:00:07.473,299,140,1,0,0,0,0,0
0:00:07.540,299,140,1,0,0,0,0,0
0:00:07.607,299,140,1,0,0,0,0,0
0:00:07.673,299,140,1,0,0,0,0,0
0:00:07.740,299,140,1,0,0,0,0,0
0:00:07.806,298,140,1,0,0,0,0,0
0:00:07.873,298,140,1,0,0,0,0,0
0:00:07.939,298,140,1,0,0,0,0,0
0:00:08.007,298,140,1,0,0,0,0,0
0:00:08.073,298,140,1,0,0,0,0,0
0:00:08.139,298,140,1,0,0,0,0,0
0:00:08.207,298,140,1,0,0,0,0,0
0:00:08.272,298,140,1,0,0,0,0,0
0:00:08.340,298,140,1,0,0,0,0,0
0:00:08.407,298,140,1,0,0,0,0,0

