_ID,0054
Time,Centre position X,Centre position Y,In platform,In nw quad,In ne quad,In sw quad,In se quad,In perimeter
0:00:00.000,,,0,0,1,0,0,0
0:00:00.095,464,218,0,0,1,0,0,0
0:00:00.128,461,218,0,0,1,0,0,0
0:00:00.195,456,218,0,0,1,0,0,0
0:00:00.262,449,217,0,0,1,0,0,0
0:00:00.328,443,218,0,0,1,0,0,0
0:00:00.395,435,217,0,0,1,0,0,0
0:00:00.462,429,217,0,0,1,0,0,0
0:00:00.527,421,218,0,0,1,0,0,0
0:00:00.595,414,218,0,0,1,0,0,0
0:00:00.661,406,220,0,0,1,0,0,0
0:00:00.728,399,222,0,0,1,0,0,0
0:00:00.794,392,225,0,0,1,0,0,0
0:00:00.862,385,228,0,0,1,0,0,0
0:00:00.927,378,231,0,0,1,0,0,0
0:00:00.994,371,235,0,0,1,0,0,0
0:00:01.062,364,237,0,0,1,0,0,0
0:00:01.128,357,240,0,0,0,0,1,0
0:00:01.162,354,241,0,0,0,0,1,0
0:00:01.227,348,243,0,0,0,0,1,0
0:00:01.295,342,245,0,0,0,0,1,0
0:00:01.362,336,246,0,0,0,0,1,0
0:00:01.428,330,246,0,0,0,0,1,0
0:00:01.495,324,246,0,0,0,0,1,0
0:00:01.562,318,245,0,0,0,0,1,0
0:00:01.628,313,244,0,0,0,0,1,0
0:00:01.695,309,244,0,0,0,0,1,0
0:00:01.762,305,243,0,0,0,0,1,0
0:00:01.828,301,240,0,0,0,0,1,0
0:00:01.895,295,236,0,0,0,0,1,0
0:00:01.961,294,232,0,0,0,0,1,0
0:00:02.027,294,229,0,0,0,0,1,0
0:00:02.094,295,226,0,0,0,0,1,0
0:00:02.159,297,222,0,0,0,0,1,0
0:00:02.228,299,218,0,0,0,0,1,0
0:00:02.294,302,215,0,0,0,0,1,0
0:00:02.360,305,211,0,0,0,1,0,0
0:00:02.395,307,210,0,0,0,1,0,0
0:00:02.461,309,205,0,0,0,1,0,0
0:00:02.527,311,200,0,0,0,1,0,0
0:00:02.595,313,194,0,0,0,1,0,0
0:00:02.660,313,189,0,0,0,1,0,0
0:00:02.728,313,182,0,0,0,1,0,0
0:00:02.795,312,176,0,0,0,1,0,0
0:00:02.860,312,172,0,0,0,1,0,0
0:00:02.928,313,170,0,0,0,1,0,0
0:00:02.994,312,167,0,0,0,1,0,0
0:00:03.061,312,166,0,0,0,1,0,0
0:00:03.128,311,163,0,0,0,1,0,0
0:00:03.195,309,161,0,0,0,1,0,0
0:00:03.261,307,160,0,0,0,1,0,0
0:00:03.328,306,159,0,0,0,1,0,0
0:00:03.394,305,158,1,0,0,0,0,0
0:00:03.428,305,158,1,0,0,0,0,0
0:00:03.495,304,158,1,0,0,0,0,0
0:00:03.561,303,158,1,0,0,0,0,0
0:00:03.627,303,159,1,0,0,0,0,0
0:00:03.695,302,159,1,0,0,0,0,0
0:00:03.761,302,159,1,0,0,0,0,0
0:00:03.827,302,159,1,0,0,0,0,0
0:00:03.895,302,158,1,0,0,0,0,0
0:00:03.961,303,158,1,0,0,0,0,0
0:00:04.028,302,158,1,0,0,0,0,0
0:00:04.095,302,158,1,0,0,0,0,0
0:00:04.161,302,158,1,0,0,0,0,0
0:00:04.228,302,158,1,0,0,0,0,0
0:00:04.294,302,158,1,0,0,0,0,0
0:00:04.361,302,158,1,0,0,0,0,0

