_ID,0032
Time,Centre position X,Centre position Y,In platform,In nw quad,In ne quad,In sw quad,In se quad,In perimeter
0:00:00.000,,,0,0,1,0,0,0
0:00:00.109,1133.5,826.1,0,0,1,0,0,0
0:00:00.142,1139.0,828.8,0,0,1,0,0,0
0:00:00.208,1147.2,834.3,0,0,1,0,0,0
0:00:00.275,1160.9,834.3,0,0,1,0,0,0
0:00:00.342,1171.9,834.3,0,0,1,0,0,0
0:00:00.408,1185.6,831.6,0,0,1,0,0,0
0:00:00.475,1199.3,826.1,0,0,1,0,0,0
0:00:00.542,1215.8,820.6,0,0,1,0,0,0
0:00:00.609,1226.8,812.4,0,0,1,0,0,0
0:00:00.675,1243.2,809.6,0,0,1,0,0,0
0:00:00.741,1262.5,801.4,0,0,1,0,0,0
0:00:00.809,1278.9,795.9,0,0,1,0,0,0
0:00:00.875,1300.9,790.4,0,0,1,0,0,0
0:00:00.942,1314.6,782.2,0,0,1,0,0,0
0:00:01.008,1325.6,773.9,0,0,1,0,0,0
0:00:01.075,1333.8,763.0,0,0,1,0,0,0
0:00:01.142,1339.3,752.0,0,0,1,0,0,0
0:00:01.209,1342.1,741.0,0,0,1,0,0,0
0:00:01.275,1342.1,730.0,0,0,1,0,0,0
0:00:01.341,1344.8,719.1,0,0,1,0,0,0
0:00:01.408,1344.8,710.8,0,0,1,0,0,0
0:00:01.474,1344.8,699.8,0,0,1,0,0,0
0:00:01.542,1347.5,683.4,0,0,1,0,0,0
0:00:01.608,1347.5,669.7,0,0,1,0,0,0
0:00:01.675,1350.3,653.2,0,0,1,0,0,0
0:00:01.741,1350.3,639.5,0,0,1,0,0,0
0:00:01.808,1353.0,623.0,0,0,1,0,0,0
0:00:01.874,1353.0,603.8,0,0,1,0,0,0
0:00:01.942,1353.0,581.8,0,0,1,0,0,0
0:00:02.008,1353.0,568.1,0,1,0,0,0,0
0:00:02.042,1353.0,557.1,0,1,0,0,0,0
0:00:02.107,1350.3,535.2,0,1,0,0,0,0
0:00:02.175,1347.5,521.5,0,1,0,0,0,0
0:00:02.242,1344.8,502.2,0,1,0,0,0,0
0:00:02.308,1339.3,483.0,0,1,0,0,0,0
0:00:02.374,1331.1,466.6,0,1,0,0,0,0
0:00:02.441,1322.8,444.6,0,1,0,0,0,0
0:00:02.508,1314.6,430.9,0,1,0,0,0,0
0:00:02.575,1300.9,408.9,0,1,0,0,0,0
0:00:02.642,1289.9,392.5,0,1,0,0,0,0
