_ID,0001
Time,Centre position X,Centre position Y,In platform,In nw quad,In ne quad,In sw quad,In se quad,In perimeter
0:00:00.000,,,0,1,0,0,0,0
0:00:00.097,460,196,0,1,0,0,0,0
0:00:00.130,457,196,0,1,0,0,0,0
0:00:00.197,451,196,0,1,0,0,0,0
0:00:00.264,447,195,0,1,0,0,0,0
0:00:00.330,440,194,0,1,0,0,0,0
0:00:00.397,435,193,0,1,0,0,0,0
0:00:00.464,429,191,0,1,0,0,0,0
0:00:00.530,422,189,0,1,0,0,0,0
0:00:00.597,415,187,0,1,0,0,0,0
0:00:00.664,409,185,0,1,0,0,0,0
0:00:00.730,401,182,0,1,0,0,0,0
0:00:00.797,395,179,0,1,0,0,0,0
0:00:00.864,387,176,0,1,0,0,0,0
0:00:00.930,379,174,0,1,0,0,0,0
0:00:00.997,373,171,0,1,0,0,0,0
0:00:01.064,365,168,0,1,0,0,0,0
0:00:01.130,359,165,0,1,0,0,0,0
0:00:01.197,351,162,0,0,0,1,0,0
0:00:01.230,348,160,0,0,0,1,0,0
0:00:01.297,341,157,0,0,0,1,0,0
0:00:01.363,333,154,0,0,0,1,0,0
0:00:01.430,326,151,0,0,0,1,0,0
0:00:01.497,320,147,0,0,0,1,0,0
0:00:01.563,312,143,0,0,0,1,0,0
0:00:01.630,307,139,0,0,0,1,0,0
0:00:01.696,306,136,0,0,0,1,0,0
0:00:01.763,305,134,0,0,0,1,0,0
0:00:01.830,306,134,0,0,0,1,0,0
0:00:01.897,305,132,0,0,0,1,0,0
0:00:01.963,305,131,0,0,0,1,0,0
0:00:02.030,303,130,0,0,0,1,0,0
0:00:02.097,299,129,0,0,0,1,0,0
0:00:02.163,296,128,0,0,0,1,0,0
0:00:02.230,291,128,0,0,0,1,0,0
0:00:02.297,287,128,0,0,0,1,0,0
0:00:02.363,282,128,0,0,0,1,0,0
0:00:02.430,278,128,0,0,0,1,0,0
0:00:02.496,273,128,0,0,0,1,0,0
0:00:02.563,268,129,0,0,0,1,0,0
0:00:02.630,263,130,0,0,0,1,0,0
0:00:02.697,259,131,0,0,0,1,0,0
0:00:02.763,260,131,0,0,0,1,0,0
0:00:02.830,262,131,0,0,0,1,0,0
0:00:02.896,264,131,0,0,0,1,0,0
0:00:02.962,266,132,0,0,0,1,0,0
0:00:03.029,266,132,0,0,0,1,0,0
0:00:03.097,266,130,0,0,0,1,0,0
0:00:03.163,268,129,0,0,0,1,0,0
0:00:03.230,269,128,0,0,0,1,0,0
0:00:03.296,269,127,0,0,0,1,0,0
0:00:03.363,270,124,0,0,0,1,0,0
0:00:03.430,270,120,0,0,0,1,0,0
0:00:03.497,271,117,0,0,0,1,0,0
0:00:03.563,273,114,0,0,0,1,0,0
0:00:03.630,276,111,0,0,0,1,0,0
0:00:03.696,279,107,0,0,0,1,0,0
0:00:03.763,283,104,0,0,0,1,0,0
0:00:03.830,286,102,0,0,0,1,0,0
0:00:03.896,291,101,0,0,0,1,0,0
0:00:03.962,297,98,0,0,0,1,0,0
0:00:04.030,305,96,0,0,0,1,0,0
0:00:04.096,313,93,0,0,0,1,0,0
0:00:04.162,320,91,0,0,0,1,0,0
0:00:04.230,327,89,0,0,0,1,0,0
0:00:04.296,334,88,0,0,0,1,0,0
0:00:04.363,341,87,0,0,0,1,0,0
0:00:04.430,349,86,0,0,0,1,0,0
0:00:04.495,356,85,0,0,0,1,0,0
0:00:04.563,362,84,0,1,0,0,0,0
0:00:04.596,365,84,0,1,0,0,0,0
0:00:04.663,373,84,0,1,0,0,0,0
0:00:04.730,379,84,0,1,0,0,0,0
0:00:04.796,384,84,0,1,0,0,0,0
0:00:04.863,390,84,0,1,0,0,0,0
0:00:04.930,395,84,0,1,0,0,0,0
0:00:04.996,401,87,0,1,0,0,0,0
0:00:05.063,406,90,0,1,0,0,0,0
0:00:05.130,411,95,0,1,0,0,0,0
0:00:05.196,414,99,0,1,0,0,0,0
0:00:05.263,419,103,0,1,0,0,0,0
0:00:05.330,424,108,0,1,0,0,0,0
0:00:05.396,429,113,0,1,0,0,0,0
0:00:05.463,432,119,0,1,0,0,0,0
0:00:05.530,436,122,0,1,0,0,0,0
0:00:05.596,440,128,0,1,0,0,0,0
0:00:05.662,444,133,0,1,0,0,0,0
0:00:05.730,449,138,0,1,0,0,0,0
0:00:05.796,452,143,0,1,0,0,0,0
0:00:05.862,457,149,0,1,0,0,0,0
0:00:05.929,462,154,0,1,0,0,0,0
0:00:05.996,467,157,0,1,0,0,0,0
0:00:06.063,471,162,0,1,0,0,0,0
0:00:06.129,476,167,0,1,0,0,0,0
0:00:06.196,479,172,0,1,0,0,0,0
0:00:06.263,483,177,0,1,0,0,0,0
0:00:06.329,485,182,0,1,0,0,0,0
0:00:06.396,486,188,0,1,0,0,0,0
0:00:06.462,488,193,0,1,0,0,0,0
0:00:06.529,488,198,0,1,0,0,0,0
0:00:06.595,486,203,0,1,0,0,0,0
0:00:06.663,485,207,0,1,0,0,0,0
0:00:06.729,483,210,0,1,0,0,0,0
0:00:06.796,480,212,0,0,1,0,0,0
0:00:06.829,479,213,0,0,1,0,0,0
0:00:06.895,476,215,0,0,1,0,0,0
0:00:06.963,471,218,0,0,1,0,0,0
0:00:07.028,467,220,0,0,1,0,0,0
0:00:07.096,463,223,0,0,1,0,0,0
0:00:07.163,458,226,0,0,1,0,0,0
0:00:07.229,453,228,0,0,1,0,0,0
0:00:07.296,449,232,0,0,1,0,0,0
0:00:07.362,444,236,0,0,1,0,0,0
0:00:07.428,439,240,0,0,1,0,0,0
0:00:07.495,433,244,0,0,1,0,0,0
0:00:07.563,428,247,0,0,1,0,0,0
0:00:07.629,422,252,0,0,1,0,0,0
0:00:07.696,416,257,0,0,1,0,0,0
0:00:07.763,412,262,0,0,1,0,0,0
0:00:07.829,406,267,0,0,1,0,0,0
0:00:07.895,400,273,0,0,1,0,0,0
0:00:07.963,395,278,0,0,1,0,0,0
0:00:08.029,391,282,0,0,1,0,0,0
0:00:08.096,386,287,0,0,1,0,0,0
0:00:08.162,381,293,0,0,1,0,0,0
0:00:08.228,376,299,0,0,1,0,0,0
0:00:08.296,371,303,0,0,1,0,0,0
0:00:08.362,364,308,0,0,1,0,0,0
0:00:08.428,359,313,0,0,1,0,0,0
0:00:08.495,355,317,0,0,0,0,1,0
0:00:08.529,353,318,0,0,0,0,1,0
0:00:08.596,348,321,0,0,0,0,1,0
0:00:08.662,343,323,0,0,0,0,1,0
0:00:08.729,339,324,0,0,0,0,1,0
0:00:08.796,329,325,0,0,0,0,1,0
0:00:08.862,323,324,0,0,0,0,1,0
0:00:08.929,318,322,0,0,0,0,1,0
0:00:08.996,313,319,0,0,0,0,1,0
0:00:09.062,307,317,0,0,0,0,1,0
0:00:09.129,302,314,0,0,0,0,1,0
0:00:09.196,296,310,0,0,0,0,1,0
0:00:09.261,290,306,0,0,0,0,1,0
0:00:09.329,285,302,0,0,0,0,1,0
0:00:09.396,279,298,0,0,0,0,1,0
