_ID,0055
Time,Centre position X,Centre position Y,In platform,In nw quad,In ne quad,In sw quad,In se quad,In perimeter
0:00:00.000,,,0,1,0,0,0,0
0:00:00.096,434,173,0,1,0,0,0,0
0:00:00.129,431,172,0,1,0,0,0,0
0:00:00.196,425,168,0,1,0,0,0,0
0:00:00.262,418,165,0,1,0,0,0,0
0:00:00.329,412,164,0,1,0,0,0,0
0:00:00.395,406,163,0,1,0,0,0,0
0:00:00.462,400,162,0,1,0,0,0,0
0:00:00.529,393,163,0,1,0,0,0,0
0:00:00.596,387,165,0,1,0,0,0,0
0:00:00.661,383,168,0,1,0,0,0,0
0:00:00.729,378,171,0,1,0,0,0,0
0:00:00.795,375,175,0,1,0,0,0,0
0:00:00.861,373,179,0,1,0,0,0,0
0:00:00.929,372,185,0,1,0,0,0,0
0:00:00.996,371,190,0,1,0,0,0,0
0:00:01.061,374,199,0,1,0,0,0,0
0:00:01.129,376,203,0,1,0,0,0,0
0:00:01.195,381,206,0,1,0,0,0,0
0:00:01.262,385,208,0,1,0,0,0,0
0:00:01.329,390,210,0,1,0,0,0,0
0:00:01.395,395,211,0,1,0,0,0,0
0:00:01.462,400,211,0,1,0,0,0,0
0:00:01.528,405,210,0,1,0,0,0,0
0:00:01.595,409,208,0,1,0,0,0,0
0:00:01.662,414,205,0,1,0,0,0,0
0:00:01.729,418,202,0,1,0,0,0,0
0:00:01.795,421,197,0,1,0,0,0,0
0:00:01.861,424,192,0,1,0,0,0,0
0:00:01.929,426,187,0,1,0,0,0,0
0:00:01.995,427,182,0,1,0,0,0,0
0:00:02.062,427,178,0,1,0,0,0,0
0:00:02.129,427,172,0,1,0,0,0,0
0:00:02.195,426,167,0,1,0,0,0,0
0:00:02.261,424,163,0,1,0,0,0,0
0:00:02.329,420,159,0,1,0,0,0,0
0:00:02.395,417,156,0,1,0,0,0,0
0:00:02.462,412,153,0,1,0,0,0,0
0:00:02.529,407,151,0,1,0,0,0,0
0:00:02.595,403,149,0,1,0,0,0,0
0:00:02.661,397,147,0,1,0,0,0,0
0:00:02.729,392,147,0,1,0,0,0,0
0:00:02.795,386,146,0,1,0,0,0,0
0:00:02.862,381,146,0,1,0,0,0,0
0:00:02.929,375,148,0,1,0,0,0,0
0:00:02.994,371,149,0,1,0,0,0,0
0:00:03.062,366,151,0,1,0,0,0,0
0:00:03.128,361,154,0,1,0,0,0,0
0:00:03.194,357,158,0,0,0,1,0,0
0:00:03.229,355,160,0,0,0,1,0,0
0:00:03.295,352,165,0,0,0,1,0,0
0:00:03.361,349,169,0,0,0,1,0,0
0:00:03.428,346,174,0,0,0,1,0,0
0:00:03.495,344,179,0,0,0,1,0,0
0:00:03.562,343,185,0,0,0,1,0,0
0:00:03.628,342,190,0,0,0,1,0,0
0:00:03.695,342,196,0,0,0,1,0,0
0:00:03.762,343,201,0,0,0,1,0,0
0:00:03.827,344,207,0,0,0,1,0,0
0:00:03.895,346,212,0,0,0,0,1,0
0:00:03.928,347,214,0,0,0,0,1,0
0:00:03.995,349,219,0,0,0,0,1,0
0:00:04.061,352,224,0,0,0,0,1,0
0:00:04.127,355,228,0,0,0,0,1,0
0:00:04.194,359,232,0,0,1,0,0,0
0:00:04.228,361,234,0,0,1,0,0,0
0:00:04.295,365,237,0,0,1,0,0,0
0:00:04.362,370,240,0,0,1,0,0,0
0:00:04.428,375,242,0,0,1,0,0,0
0:00:04.495,380,244,0,0,1,0,0,0
0:00:04.562,385,246,0,0,1,0,0,0
0:00:04.628,390,248,0,0,1,0,0,0
0:00:04.695,397,248,0,0,1,0,0,0
0:00:04.762,402,248,0,0,1,0,0,0
0:00:04.828,408,248,0,0,1,0,0,0
0:00:04.894,414,247,0,0,1,0,0,0
0:00:04.961,420,246,0,0,1,0,0,0
0:00:05.028,425,243,0,0,1,0,0,0
0:00:05.094,430,240,0,0,1,0,0,0
0:00:05.162,435,236,0,0,1,0,0,0
0:00:05.228,438,233,0,0,1,0,0,0
0:00:05.294,442,228,0,0,1,0,0,0
0:00:05.362,445,223,0,0,1,0,0,0
0:00:05.428,447,218,0,0,1,0,0,0
0:00:05.495,449,213,0,0,1,0,0,0
0:00:05.562,451,208,0,1,0,0,0,0
0:00:05.594,451,205,0,1,0,0,0,0
0:00:05.660,451,199,0,1,0,0,0,0
0:00:05.727,451,194,0,1,0,0,0,0
0:00:05.794,450,188,0,1,0,0,0,0
0:00:05.860,448,183,0,1,0,0,0,0
0:00:05.927,446,178,0,1,0,0,0,0
0:00:05.995,443,173,0,1,0,0,0,0
0:00:06.060,440,169,0,1,0,0,0,0
0:00:06.127,436,165,0,1,0,0,0,0
0:00:06.195,432,161,0,1,0,0,0,0
0:00:06.260,429,158,0,1,0,0,0,0
0:00:06.327,424,155,0,1,0,0,0,0
0:00:06.395,419,153,0,1,0,0,0,0
0:00:06.461,414,151,0,1,0,0,0,0
0:00:06.527,409,149,0,1,0,0,0,0
0:00:06.594,403,148,0,1,0,0,0,0
0:00:06.660,398,147,0,1,0,0,0,0
0:00:06.727,392,147,0,1,0,0,0,0
0:00:06.794,386,147,0,1,0,0,0,0
0:00:06.860,381,148,0,1,0,0,0,0
0:00:06.927,375,149,0,1,0,0,0,0
0:00:06.994,370,151,0,1,0,0,0,0
0:00:07.060,365,153,0,1,0,0,0,0
0:00:07.128,359,156,0,1,0,0,0,0
0:00:07.195,355,159,0,0,0,1,0,0
0:00:07.228,353,161,0,0,0,1,0,0
0:00:07.294,348,164,0,0,0,1,0,0
0:00:07.360,344,168,0,0,0,1,0,0
0:00:07.428,340,172,0,0,0,1,0,0
0:00:07.495,337,176,0,0,0,1,0,0
0:00:07.561,333,180,0,0,0,1,0,0
0:00:07.628,330,185,0,0,0,1,0,0
0:00:07.694,326,189,0,0,0,1,0,0
0:00:07.761,323,195,0,0,0,1,0,0
0:00:07.828,321,200,0,0,0,1,0,0
0:00:07.893,319,206,0,0,0,1,0,0
0:00:07.960,317,212,0,0,0,0,1,0
0:00:07.994,316,214,0,0,0,0,1,0
0:00:08.060,315,220,0,0,0,0,1,0
0:00:08.128,314,226,0,0,0,0,1,0
0:00:08.194,314,232,0,0,0,0,1,0
0:00:08.261,314,239,0,0,0,0,1,0
0:00:08.328,314,244,0,0,0,0,1,0
0:00:08.394,315,251,0,0,0,0,1,0
0:00:08.461,317,257,0,0,0,0,1,0
0:00:08.528,319,263,0,0,0,0,1,0
0:00:08.593,321,269,0,0,0,0,1,0
0:00:08.661,325,275,0,0,0,0,1,0
0:00:08.728,329,280,0,0,0,0,1,0
0:00:08.793,332,284,0,0,0,0,1,0
0:00:08.861,337,288,0,0,0,0,1,0
0:00:08.928,341,291,0,0,0,0,1,0
0:00:08.994,346,294,0,0,0,0,1,0
0:00:09.061,352,297,0,0,0,0,1,0
0:00:09.128,357,300,0,0,0,0,1,0
0:00:09.194,364,303,0,0,1,0,0,0
0:00:09.228,366,304,0,0,1,0,0,0
0:00:09.293,372,305,0,0,1,0,0,0
0:00:09.361,378,307,0,0,1,0,0,0
0:00:09.428,383,308,0,0,1,0,0,0
0:00:09.494,389,309,0,0,1,0,0,0
0:00:09.561,395,310,0,0,1,0,0,0
0:00:09.628,400,311,0,0,1,0,0,0
0:00:09.694,406,313,0,0,1,0,0,0
0:00:09.761,411,314,0,0,1,0,0,0
0:00:09.828,418,316,0,0,1,0,0,0
0:00:09.894,423,318,0,0,1,0,0,0
0:00:09.961,429,320,0,0,1,0,0,0
0:00:10.027,435,322,0,0,1,0,0,0
0:00:10.094,441,324,0,0,1,0,0,0
0:00:10.161,446,325,0,0,1,0,0,0
0:00:10.227,450,326,0,0,1,0,0,0
0:00:10.294,451,325,0,0,1,0,0,0
0:00:10.361,452,324,0,0,1,0,0,0
0:00:10.427,452,323,0,0,1,0,0,0
0:00:10.494,454,321,0,0,1,0,0,0
0:00:10.561,457,319,0,0,1,0,0,0
0:00:10.626,459,317,0,0,1,0,0,0
0:00:10.694,461,315,0,0,1,0,0,0
0:00:10.761,465,311,0,0,1,0,0,0
0:00:10.827,469,307,0,0,1,0,0,0
0:00:10.894,471,304,0,0,1,0,0,0
0:00:10.961,474,299,0,0,1,0,0,0
0:00:11.026,477,295,0,0,1,0,0,0
0:00:11.094,479,292,0,0,1,0,0,0
0:00:11.160,482,287,0,0,1,0,0,0
0:00:11.227,484,283,0,0,1,0,0,0
0:00:11.294,486,279,0,0,1,0,0,0
0:00:11.361,488,273,0,0,1,0,0,0
0:00:11.427,489,267,0,0,1,0,0,0
0:00:11.494,490,257,0,0,1,0,0,0
0:00:11.561,490,249,0,0,1,0,0,0
0:00:11.627,489,244,0,0,1,0,0,0
0:00:11.694,489,237,0,0,1,0,0,0
0:00:11.761,488,232,0,0,1,0,0,0
0:00:11.827,487,225,0,0,1,0,0,0
0:00:11.893,486,219,0,0,1,0,0,0
0:00:11.961,485,212,0,0,1,0,0,0
0:00:12.027,483,206,0,1,0,0,0,0
0:00:12.060,483,204,0,1,0,0,0,0
0:00:12.126,481,197,0,1,0,0,0,0
0:00:12.193,478,192,0,1,0,0,0,0
0:00:12.260,475,186,0,1,0,0,0,0
0:00:12.326,471,181,0,1,0,0,0,0
0:00:12.394,467,177,0,1,0,0,0,0
0:00:12.460,463,173,0,1,0,0,0,0
0:00:12.527,459,170,0,1,0,0,0,0
0:00:12.594,454,166,0,1,0,0,0,0
0:00:12.660,449,163,0,1,0,0,0,0
0:00:12.727,444,160,0,1,0,0,0,0
0:00:12.793,439,157,0,1,0,0,0,0
0:00:12.860,434,155,0,1,0,0,0,0
0:00:12.926,428,153,0,1,0,0,0,0
0:00:12.994,422,151,0,1,0,0,0,0
0:00:13.060,416,148,0,1,0,0,0,0
0:00:13.127,410,146,0,1,0,0,0,0
0:00:13.194,405,144,0,1,0,0,0,0
0:00:13.260,399,143,0,1,0,0,0,0
0:00:13.327,393,141,0,1,0,0,0,0
0:00:13.394,387,139,0,1,0,0,0,0
0:00:13.460,380,137,0,1,0,0,0,0
0:00:13.527,374,135,0,1,0,0,0,0
0:00:13.594,368,133,0,1,0,0,0,0
0:00:13.659,362,130,0,1,0,0,0,0
0:00:13.727,357,128,0,0,0,1,0,0
0:00:13.760,354,126,0,0,0,1,0,0
0:00:13.826,348,124,0,0,0,1,0,0
0:00:13.894,341,122,0,0,0,1,0,0
