_ID,0022
Time,Centre position X,Centre position Y,In platform,In nw quad,In ne quad,In sw quad,In se quad,In perimeter
0:00:00.000,,,0,0,1,0,0,0
0:00:00.097,1347.5,653.2,0,0,1,0,0,0
0:00:00.130,1339.3,664.2,0,0,1,0,0,0
0:00:00.197,1325.6,680.6,0,0,1,0,0,0
0:00:00.263,1309.1,691.6,0,0,1,0,0,0
0:00:00.330,1289.9,699.8,0,0,1,0,0,0
0:00:00.397,1273.4,705.3,0,0,1,0,0,0
0:00:00.463,1254.2,708.1,0,0,1,0,0,0
0:00:00.530,1237.8,708.1,0,0,1,0,0,0
0:00:00.596,1218.5,708.1,0,0,1,0,0,0
0:00:00.663,1202.1,705.3,0,0,1,0,0,0
0:00:00.729,1182.9,705.3,0,0,1,0,0,0
0:00:00.796,1166.4,699.8,0,0,1,0,0,0
0:00:00.863,1149.9,694.4,0,0,1,0,0,0
0:00:00.930,1133.5,686.1,0,0,1,0,0,0
0:00:00.996,1114.3,675.1,0,0,1,0,0,0
0:00:01.063,1097.8,664.2,0,0,1,0,0,0
0:00:01.130,1078.6,655.9,0,0,1,0,0,0
0:00:01.195,1064.9,645.0,0,0,1,0,0,0
0:00:01.262,1042.9,634.0,0,0,1,0,0,0
0:00:01.330,1026.4,623.0,0,0,1,0,0,0
0:00:01.396,1010.0,612.0,0,0,1,0,0,0
0:00:01.463,993.5,601.0,0,0,1,0,0,0
0:00:01.530,979.8,587.3,0,0,0,0,1,0
0:00:01.562,971.5,579.1,0,0,0,1,0,0
0:00:01.596,963.3,576.3,0,0,0,1,0,0
0:00:01.662,944.1,565.4,0,0,0,1,0,0
0:00:01.730,930.4,551.6,0,0,0,1,0,0
0:00:01.796,911.2,535.2,0,0,0,1,0,0
0:00:01.863,900.2,524.2,0,0,0,1,0,0
0:00:01.930,883.7,505.0,0,0,0,1,0,0
0:00:01.996,870.0,491.3,0,0,0,1,0,0
0:00:02.062,856.3,477.5,0,0,0,1,0,0
0:00:02.130,845.3,458.3,0,0,0,1,0,0
0:00:02.196,839.8,447.4,0,0,0,1,0,0
0:00:02.263,834.3,439.1,1,0,0,0,0,0
0:00:02.295,831.6,436.4,1,0,0,0,0,0
0:00:02.363,828.8,430.9,1,0,0,0,0,0
0:00:02.430,828.8,425.4,1,0,0,0,0,0
0:00:02.496,826.1,422.6,1,0,0,0,0,0
0:00:02.563,820.6,419.9,1,0,0,0,0,0
0:00:02.628,820.6,417.2,1,0,0,0,0,0
0:00:02.695,820.6,414.4,1,0,0,0,0,0
0:00:02.763,820.6,417.2,1,0,0,0,0,0
0:00:02.829,820.6,417.2,1,0,0,0,0,0
0:00:02.896,820.6,417.2,1,0,0,0,0,0
0:00:02.963,820.6,419.9,1,0,0,0,0,0
0:00:03.029,820.6,419.9,1,0,0,0,0,0
0:00:03.096,820.6,417.2,1,0,0,0,0,0
0:00:03.163,823.3,417.2,1,0,0,0,0,0
0:00:03.229,823.3,417.2,1,0,0,0,0,0

