_ID,12235
Time,Centre position X,Centre position Y,In platform,In nw quad,In ne quad,In sw quad,In se quad,In perimeter
00:00.0,,,0,1,0,0,0,0
00:00.1,1344.8,548.9,0,1,0,0,0,0
00:00.1,1347.5,546.2,0,1,0,0,0,0
00:00.2,1350.3,543.4,0,1,0,0,0,0
00:00.3,1353,543.4,0,1,0,0,0,0
00:00.3,1355.8,540.7,0,1,0,0,0,0
00:00.4,1358.5,540.7,0,1,0,0,0,0
00:00.5,1358.5,537.9,0,1,0,0,0,0
00:00.5,1355.8,537.9,0,1,0,0,0,0
00:00.6,1350.3,537.9,0,1,0,0,0,0
00:00.7,1344.8,540.7,0,1,0,0,0,0
00:00.7,1342.1,540.7,0,1,0,0,0,0
00:00.8,1336.6,540.7,0,1,0,0,0,0
00:00.9,1336.6,537.9,0,1,0,0,0,0
00:00.9,1336.6,537.9,0,1,0,0,0,0
00:01.0,1336.6,537.9,0,1,0,0,0,0
00:01.1,1333.8,537.9,0,1,0,0,0,0
00:01.1,1336.6,535.2,0,1,0,0,0,0
00:01.2,1336.6,535.2,0,1,0,0,0,0
00:01.3,1333.8,535.2,0,1,0,0,0,0
00:01.3,1333.8,535.2,0,1,0,0,0,0
00:01.4,1336.6,535.2,0,1,0,0,0,0
00:01.5,1336.6,535.2,0,1,0,0,0,0
00:01.5,1336.6,532.4,0,1,0,0,0,0
00:01.6,1336.6,532.4,0,1,0,0,0,0
00:01.7,1339.3,529.7,0,1,0,0,0,0
00:01.7,1339.3,529.7,0,1,0,0,0,0
00:01.8,1339.3,526.9,0,1,0,0,0,0
00:01.9,1339.3,526.9,0,1,0,0,0,0
00:01.9,1339.3,526.9,0,1,0,0,0,0
00:02.0,1339.3,524.2,0,1,0,0,0,0
00:02.1,1339.3,524.2,0,1,0,0,0,0
00:02.1,1339.3,524.2,0,1,0,0,0,0
00:02.2,1339.3,524.2,0,1,0,0,0,0
00:02.3,1339.3,521.5,0,1,0,0,0,0
00:02.3,1339.3,521.5,0,1,0,0,0,0
00:02.4,1342.1,521.5,0,1,0,0,0,0
00:02.5,1342.1,521.5,0,1,0,0,0,0
00:02.5,1342.1,518.7,0,1,0,0,0,0
00:02.6,1342.1,518.7,0,1,0,0,0,0
00:02.7,1342.1,518.7,0,1,0,0,0,0
00:02.7,1342.1,518.7,0,1,0,0,0,0
00:02.8,1342.1,516,0,1,0,0,0,0
00:02.9,1342.1,516,0,1,0,0,0,0
00:02.9,1342.1,516,0,1,0,0,0,0
00:03.0,1342.1,513.2,0,1,0,0,0,0
00:03.1,1342.1,513.2,0,1,0,0,0,0
00:03.1,1344.8,513.2,0,1,0,0,0,0
00:03.2,1344.8,513.2,0,1,0,0,0,0
00:03.3,1344.8,513.2,0,1,0,0,0,0
00:03.3,1344.8,510.5,0,1,0,0,0,0
00:03.4,1344.8,510.5,0,1,0,0,0,0
00:03.5,1344.8,510.5,0,1,0,0,0,0
00:03.5,1342.1,510.5,0,1,0,0,0,0
00:03.6,1339.3,510.5,0,1,0,0,0,0
00:03.7,1336.6,510.5,0,1,0,0,0,0
00:03.7,1336.6,510.5,0,1,0,0,0,0
00:03.8,1336.6,507.7,0,1,0,0,0,0
00:03.9,1336.6,507.7,0,1,0,0,0,0
00:03.9,1333.8,507.7,0,1,0,0,0,0
00:04.0,1336.6,505,0,1,0,0,0,0
00:04.1,1333.8,505,0,1,0,0,0,0
00:04.1,1336.6,507.7,0,1,0,0,0,0
00:04.2,1336.6,505,0,1,0,0,0,0
00:04.3,1336.6,505,0,1,0,0,0,0
00:04.3,1336.6,502.2,0,1,0,0,0,0
00:04.4,1333.8,502.2,0,1,0,0,0,0
00:04.5,1333.8,499.5,0,1,0,0,0,0
00:04.5,1336.6,499.5,0,1,0,0,0,0
00:04.6,1336.6,499.5,0,1,0,0,0,0
