_ID,0001
Time,Centre position X,Centre position Y,In platform,In nw quad,In ne quad,In sw quad,In se quad,In perimeter
0:00:00.000,,,0,1,0,0,0,0
0:00:00.095,478,204,0,1,0,0,0,0
0:00:00.128,476,204,0,1,0,0,0,0
0:00:00.195,473,204,0,1,0,0,0,0
0:00:00.260,472,205,0,1,0,0,0,0
0:00:00.328,470,205,0,1,0,0,0,0
0:00:00.395,468,203,0,1,0,0,0,0
0:00:00.460,466,201,0,1,0,0,0,0
0:00:00.528,463,197,0,1,0,0,0,0
0:00:00.595,461,194,0,1,0,0,0,0
0:00:00.661,459,190,0,1,0,0,0,0
0:00:00.727,456,187,0,1,0,0,0,0
0:00:00.795,454,184,0,1,0,0,0,0
0:00:00.861,452,181,0,1,0,0,0,0
0:00:00.928,451,179,0,1,0,0,0,0
0:00:00.995,448,178,0,1,0,0,0,0
0:00:01.061,445,176,0,1,0,0,0,0
0:00:01.128,443,176,0,1,0,0,0,0
0:00:01.194,441,179,0,1,0,0,0,0
0:00:01.261,440,182,0,1,0,0,0,0
0:00:01.328,440,185,0,1,0,0,0,0
0:00:01.395,443,188,0,1,0,0,0,0
0:00:01.461,446,189,0,1,0,0,0,0
0:00:01.528,451,190,0,1,0,0,0,0
0:00:01.594,456,191,0,1,0,0,0,0
0:00:01.661,462,189,0,1,0,0,0,0
0:00:01.728,467,187,0,1,0,0,0,0
0:00:01.795,472,183,0,1,0,0,0,0
0:00:01.861,475,179,0,1,0,0,0,0
0:00:01.928,479,173,0,1,0,0,0,0
0:00:01.995,481,168,0,1,0,0,0,0
0:00:02.061,482,162,0,1,0,0,0,0
0:00:02.128,483,157,0,1,0,0,0,0
0:00:02.194,482,151,0,1,0,0,0,0
0:00:02.261,481,146,0,1,0,0,0,0
0:00:02.328,479,141,0,1,0,0,0,0
0:00:02.394,476,135,0,1,0,0,0,0
0:00:02.461,474,130,0,1,0,0,0,0
0:00:02.528,470,126,0,1,0,0,0,0
0:00:02.594,468,124,0,1,0,0,0,0
0:00:02.661,466,124,0,1,0,0,0,0
0:00:02.727,465,124,0,1,0,0,0,0
0:00:02.794,463,124,0,1,0,0,0,0
0:00:02.861,460,122,0,1,0,0,0,0
0:00:02.928,457,120,0,1,0,0,0,0
0:00:02.994,454,118,0,1,0,0,0,0
0:00:03.061,450,115,0,1,0,0,0,0
0:00:03.128,446,112,0,1,0,0,0,0
0:00:03.194,442,109,0,1,0,0,0,0
0:00:03.261,436,106,0,1,0,0,0,0
0:00:03.328,431,102,0,1,0,0,0,0
0:00:03.393,428,99,0,1,0,0,0,0
0:00:03.461,423,97,0,1,0,0,0,0
0:00:03.528,417,95,0,1,0,0,0,0
