_ID,0058
Time,Centre position X,Centre position Y,In platform,In nw quad,In ne quad,In sw quad,In se quad,In perimeter
0:00:00.000,,,0,0,1,0,0,0
0:00:00.095,474,281,0,0,1,0,0,0
0:00:00.129,472,284,0,0,1,0,0,0
0:00:00.196,466,288,0,0,1,0,0,0
0:00:00.261,461,292,0,0,1,0,0,0
0:00:00.329,455,295,0,0,1,0,0,0
0:00:00.396,448,299,0,0,1,0,0,0
0:00:00.462,442,303,0,0,1,0,0,0
0:00:00.529,436,308,0,0,1,0,0,0
0:00:00.596,430,312,0,0,1,0,0,0
0:00:00.662,423,316,0,0,1,0,0,0
0:00:00.729,417,321,0,0,1,0,0,0
0:00:00.795,410,326,0,0,1,0,0,0
0:00:00.862,404,330,0,0,1,0,0,0
0:00:00.929,398,334,0,0,1,0,0,0
0:00:00.996,393,337,0,0,1,0,0,0
0:00:01.062,387,339,0,0,1,0,0,0
0:00:01.129,380,341,0,0,1,0,0,0
0:00:01.195,373,342,0,0,1,0,0,0
0:00:01.262,366,343,0,0,1,0,0,0
0:00:01.329,359,344,0,0,1,0,0,0
0:00:01.394,354,344,0,0,0,0,1,0
0:00:01.429,350,344,0,0,0,0,1,0
0:00:01.495,343,343,0,0,0,0,1,0
0:00:01.562,336,341,0,0,0,0,1,0
0:00:01.629,330,339,0,0,0,0,1,0
0:00:01.695,324,337,0,0,0,0,1,0
0:00:01.761,319,334,0,0,0,0,1,0
0:00:01.829,313,331,0,0,0,0,1,0
0:00:01.895,306,327,0,0,0,0,1,0
0:00:01.962,300,324,0,0,0,0,1,0
0:00:02.029,296,319,0,0,0,0,1,0
0:00:02.095,292,312,0,0,0,0,1,0
0:00:02.162,288,306,0,0,0,0,1,0
0:00:02.228,285,300,0,0,0,0,1,0
0:00:02.295,282,293,0,0,0,0,1,0
0:00:02.362,280,288,0,0,0,0,1,0
0:00:02.429,277,281,0,0,0,0,1,0
0:00:02.495,274,275,0,0,0,0,1,0
0:00:02.562,271,268,0,0,0,0,1,0
0:00:02.628,267,262,0,0,0,0,1,0
0:00:02.695,263,255,0,0,0,0,1,0
0:00:02.762,259,249,0,0,0,0,1,0
0:00:02.828,255,244,0,0,0,0,1,0
0:00:02.895,250,240,0,0,0,0,1,0
0:00:02.962,246,235,0,0,0,0,1,0
0:00:03.029,242,229,0,0,0,0,1,0
0:00:03.095,238,225,0,0,0,0,1,0
0:00:03.162,234,221,0,0,0,0,1,0
0:00:03.229,230,215,0,0,0,0,1,0
0:00:03.295,226,210,0,0,0,1,0,0
0:00:03.328,225,210,0,0,0,1,0,0
0:00:03.395,222,205,0,0,0,1,0,0
0:00:03.462,220,200,0,0,0,1,0,0
0:00:03.528,220,198,0,0,0,1,0,0
0:00:03.595,220,196,0,0,0,1,0,0
0:00:03.661,221,195,0,0,0,1,0,0
0:00:03.728,223,196,0,0,0,1,0,0
0:00:03.795,224,196,0,0,0,1,0,0
0:00:03.861,225,196,0,0,0,1,0,0
0:00:03.928,225,196,0,0,0,1,0,0
0:00:03.995,225,196,0,0,0,1,0,0
0:00:04.062,226,197,0,0,0,1,0,0
0:00:04.127,227,198,0,0,0,1,0,0
0:00:04.194,229,199,0,0,0,1,0,0
0:00:04.261,230,199,0,0,0,1,0,0
0:00:04.328,229,200,0,0,0,1,0,0
0:00:04.395,228,200,0,0,0,1,0,0
0:00:04.461,227,202,0,0,0,1,0,0
0:00:04.527,225,205,0,0,0,1,0,0
0:00:04.595,225,208,0,0,0,1,0,0
0:00:04.662,224,210,0,0,0,1,0,0
0:00:04.728,225,212,0,0,0,0,1,0
0:00:04.762,226,213,0,0,0,0,1,0
0:00:04.827,228,214,0,0,0,0,1,0
0:00:04.895,230,215,0,0,0,0,1,0
0:00:04.962,232,215,0,0,0,0,1,0
0:00:05.028,235,215,0,0,0,0,1,0
0:00:05.095,237,214,0,0,0,0,1,0
0:00:05.162,240,212,0,0,0,0,1,0
0:00:05.228,242,210,0,0,0,1,0,0
0:00:05.262,244,209,0,0,0,1,0,0
0:00:05.328,249,200,0,0,0,1,0,0
0:00:05.394,252,195,0,0,0,1,0,0
0:00:05.461,255,190,0,0,0,1,0,0
0:00:05.528,258,185,0,0,0,1,0,0
0:00:05.595,261,179,0,0,0,1,0,0
0:00:05.661,263,174,0,0,0,1,0,0
0:00:05.727,264,170,0,0,0,1,0,0
0:00:05.795,265,164,0,0,0,1,0,0
0:00:05.860,264,159,0,0,0,1,0,0
0:00:05.927,263,156,0,0,0,1,0,0
0:00:05.995,262,154,0,0,0,1,0,0
0:00:06.061,261,151,0,0,0,1,0,0
0:00:06.128,261,148,0,0,0,1,0,0
0:00:06.195,261,146,0,0,0,1,0,0
0:00:06.260,262,145,0,0,0,1,0,0
0:00:06.328,263,143,0,0,0,1,0,0
0:00:06.395,263,142,0,0,0,1,0,0
0:00:06.461,264,142,0,0,0,1,0,0
0:00:06.528,264,142,0,0,0,1,0,0
0:00:06.594,266,143,0,0,0,1,0,0
0:00:06.660,267,145,0,0,0,1,0,0
0:00:06.728,269,147,0,0,0,1,0,0
0:00:06.795,270,148,0,0,0,1,0,0
0:00:06.861,272,149,0,0,0,1,0,0
0:00:06.928,273,148,0,0,0,1,0,0
0:00:06.995,274,149,1,0,0,0,0,0
0:00:07.027,274,149,1,0,0,0,0,0
0:00:07.095,274,150,1,0,0,0,0,0
0:00:07.161,274,149,1,0,0,0,0,0
0:00:07.228,274,149,1,0,0,0,0,0
0:00:07.295,273,149,0,0,0,1,0,0
0:00:07.328,273,149,0,0,0,1,0,0
0:00:07.395,273,148,0,0,0,1,0,0
0:00:07.461,273,148,0,0,0,1,0,0
0:00:07.528,273,147,0,0,0,1,0,0
0:00:07.595,272,148,0,0,0,1,0,0
0:00:07.661,272,148,0,0,0,1,0,0
0:00:07.728,273,147,0,0,0,1,0,0
0:00:07.793,273,147,0,0,0,1,0,0
0:00:07.861,273,147,0,0,0,1,0,0
0:00:07.928,273,147,0,0,0,1,0,0
0:00:07.994,273,146,0,0,0,1,0,0
0:00:08.061,274,146,1,0,0,0,0,0
0:00:08.094,274,146,1,0,0,0,0,0
0:00:08.161,274,146,1,0,0,0,0,0
0:00:08.228,274,146,1,0,0,0,0,0
0:00:08.294,274,146,1,0,0,0,0,0
0:00:08.361,274,146,1,0,0,0,0,0
0:00:08.428,274,146,1,0,0,0,0,0
0:00:08.494,274,146,1,0,0,0,0,0
0:00:08.561,274,146,1,0,0,0,0,0
0:00:08.628,274,146,1,0,0,0,0,0
0:00:08.694,274,146,1,0,0,0,0,0
0:00:08.761,274,147,1,0,0,0,0,0
0:00:08.828,274,146,1,0,0,0,0,0
0:00:08.894,274,146,1,0,0,0,0,0
0:00:08.961,274,146,1,0,0,0,0,0
0:00:09.027,274,146,1,0,0,0,0,0

